,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
103,주간,영통구,젖음/습기,흐림,2.0,1.0,4.0,3.0,10.0,15.124291551422708,4.476795931341386,4.492957746478873,4.841059602649007,4.421875,28.232688280469265,46.07641301975767
104,주간,장안구,서리/결빙,흐림,2.0,2.0,3.0,3.0,10.0,14.998000156889976,4.476795931341386,4.474332648870637,4.875,4.421875,28.24800358021202,45.79288216042404
105,주간,장안구,젖음/습기,눈,2.0,2.0,4.0,2.0,10.0,14.998000156889978,4.476795931341386,4.474332648870637,4.841059602649007,3.5714285714285716,27.363616754289602,44.40935271387722
106,주간,장안구,기타,비,2.0,2.0,2.0,4.0,10.0,14.998000156889978,4.476795931341386,4.474332648870637,4.666666666666667,4.798319327731092,28.416114574609782,46.428867804681744
107,주간,장안구,적설,맑음,2.0,2.0,1.0,5.0,10.0,14.998000156889976,4.476795931341386,4.474332648870637,4.25,4.460807600950119,27.66193618116214,44.45629516517464
108,주간,권선구,적설,흐림,2.0,4.0,1.0,3.0,10.0,14.745417367824516,4.476795931341386,4.588550983899821,4.25,4.421875,27.737221915241207,44.82342079828206
109,주간,팔달구,서리/결빙,눈,2.0,3.0,3.0,2.0,10.0,14.871708762357246,4.476795931341386,4.363636363636363,4.875,3.5714285714285716,27.28686086640632,43.81235809644901
110,주간,팔달구,기타,흐림,2.0,3.0,2.0,3.0,10.0,14.871708762357247,4.476795931341386,4.363636363636363,4.666666666666667,4.421875,27.928973961644417,44.6434592869252
111,주간,팔달구,적설,비,2.0,3.0,1.0,4.0,10.0,14.871708762357246,4.476795931341386,4.363636363636363,4.25,4.798319327731092,27.888751622708842,45.48777826451624
112,주간,영통구,건조,눈,2.0,1.0,5.0,2.0,10.0,15.124291551422708,4.476795931341386,4.492957746478873,4.444769140853302,3.5714285714285716,26.985951390102134,42.813252456285305
113,주간,영통구,서리/결빙,비,2.0,1.0,3.0,4.0,10.0,15.124291551422708,4.476795931341386,4.492957746478873,4.875,4.798319327731092,28.64307300555135,47.264826920086016
114,주간,팔달구,젖음/습기,기타,2.0,3.0,4.0,1.0,10.0,14.871708762357244,4.476795931341386,4.363636363636363,4.841059602649007,4.833333333333333,28.51482523096009,46.24207269752123
115,주간,영통구,기타,맑음,2.0,1.0,2.0,5.0,10.0,15.124291551422708,4.476795931341386,4.492957746478873,4.666666666666667,4.460807600950119,28.097227945437044,45.08392094724557
116,야간,장안구,젖음/습기,눈,1.0,2.0,4.0,2.0,9.0,13.784799440534366,4.488599348534202,4.474332648870637,4.841059602649007,3.5714285714285716,26.375420171482418,39.94436019972865
117,야간,팔달구,젖음/습기,기타,1.0,3.0,4.0,1.0,9.0,13.658508046001636,4.488599348534202,4.363636363636363,4.841059602649007,4.833333333333333,27.526628648152904,41.777080183372654
118,야간,팔달구,적설,비,1.0,3.0,1.0,4.0,9.0,13.658508046001636,4.488599348534202,4.363636363636363,4.25,4.798319327731092,26.900555039901658,41.02278575036766
119,주간,팔달구,기타,눈,2.0,3.0,2.0,2.0,9.0,13.26868607320172,4.476795931341386,4.363636363636363,4.666666666666667,3.5714285714285716,26.07852753307299,38.520691429782346
120,주간,장안구,기타,흐림,2.0,2.0,2.0,3.0,9.0,13.39497746773445,4.476795931341386,4.474332648870637,4.666666666666667,4.421875,27.03967024687869,40.50121549375738
121,야간,팔달구,기타,흐림,1.0,3.0,2.0,3.0,9.0,13.658508046001636,4.488599348534202,4.363636363636363,4.666666666666667,4.421875,26.940777378837232,40.17846677277662
122,야간,장안구,기타,비,1.0,2.0,2.0,4.0,9.0,13.784799440534368,4.488599348534202,4.474332648870637,4.666666666666667,4.798319327731092,27.427917991802598,41.96387529053318
