,구,동,주야간,노면상태,기상상태,동_risk,주야간_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk
236,팔달구,매산로1가,주간,건조,비,46.0,2.0,5.0,4.0,57.0,103.47535772491169
237,권선구,세류동,야간,젖음/습기,흐림,49.0,1.0,4.0,3.0,57.0,106.2398789175222
238,장안구,영화동,야간,적설,비,51.0,1.0,1.0,4.0,57.0,108.04444042982394
239,권선구,세류동,주간,기타,비,49.0,2.0,2.0,4.0,57.0,106.1821999933643
240,영통구,이의동,주간,건조,흐림,47.0,2.0,5.0,3.0,57.0,104.37763848106256
241,팔달구,화서동,주간,건조,눈,48.0,2.0,5.0,2.0,57.0,105.27991923721343
242,권선구,세류동,주간,적설,맑음,49.0,2.0,1.0,5.0,57.0,106.1821999933643
243,팔달구,인계동,주간,적설,눈,52.0,2.0,1.0,2.0,57.0,108.88904226181691
244,팔달구,인계동,주간,기타,기타,52.0,2.0,2.0,1.0,57.0,108.88904226181693
245,팔달구,우만동,주간,적설,비,50.0,2.0,1.0,4.0,57.0,107.08448074951517
246,팔달구,매산로1가,야간,건조,맑음,46.0,1.0,5.0,5.0,57.0,103.53303664906959
247,영통구,이의동,주간,서리/결빙,맑음,47.0,2.0,3.0,5.0,57.0,104.37763848106255
248,팔달구,우만동,주간,기타,흐림,50.0,2.0,2.0,3.0,57.0,107.08448074951518
249,팔달구,우만동,주간,젖음/습기,기타,50.0,2.0,4.0,1.0,57.0,107.08448074951518
250,팔달구,화서동,주간,젖음/습기,흐림,48.0,2.0,4.0,3.0,57.0,105.27991923721343
251,팔달구,우만동,주간,서리/결빙,눈,50.0,2.0,3.0,2.0,57.0,107.08448074951517
252,권선구,권선동,주간,적설,기타,53.0,2.0,1.0,1.0,57.0,109.7913230179678
253,팔달구,우만동,야간,건조,기타,50.0,1.0,5.0,1.0,57.0,107.14215967367308
254,권선구,권선동,야간,적설,눈,53.0,1.0,1.0,2.0,57.0,109.84900194212568
255,권선구,권선동,야간,기타,기타,53.0,1.0,2.0,1.0,57.0,109.8490019421257
256,장안구,정자동,야간,적설,기타,54.0,1.0,1.0,1.0,57.0,110.75128269827655
257,장안구,영화동,야간,젖음/습기,기타,51.0,1.0,4.0,1.0,57.0,108.04444042982395
258,장안구,영화동,야간,기타,흐림,51.0,1.0,2.0,3.0,57.0,108.04444042982395
259,팔달구,화서동,주간,서리/결빙,비,48.0,2.0,3.0,4.0,57.0,105.27991923721342
260,장안구,영화동,야간,서리/결빙,눈,51.0,1.0,3.0,2.0,57.0,108.04444042982394
261,팔달구,인계동,야간,기타,눈,52.0,1.0,2.0,2.0,57.0,108.94672118597481
262,영통구,매탄동,주간,건조,맑음,45.0,2.0,5.0,5.0,57.0,102.57307696876082
263,팔달구,화서동,주간,기타,맑음,48.0,2.0,2.0,5.0,57.0,105.27991923721343
264,팔달구,우만동,야간,기타,비,50.0,1.0,2.0,4.0,57.0,107.14215967367306
265,장안구,영화동,주간,적설,흐림,51.0,2.0,1.0,3.0,57.0,107.98676150566605
266,영통구,이의동,야간,젖음/습기,맑음,47.0,1.0,4.0,5.0,57.0,104.43531740522045
267,장안구,영화동,주간,기타,눈,51.0,2.0,2.0,2.0,57.0,107.98676150566605
268,팔달구,우만동,야간,서리/결빙,흐림,50.0,1.0,3.0,3.0,57.0,107.14215967367306
269,장안구,영화동,주간,서리/결빙,기타,51.0,2.0,3.0,1.0,57.0,107.98676150566605
270,팔달구,우만동,야간,적설,맑음,50.0,1.0,1.0,5.0,57.0,107.14215967367306
271,권선구,세류동,야간,건조,눈,49.0,1.0,5.0,2.0,57.0,106.2398789175222
272,영통구,이의동,야간,건조,비,47.0,1.0,5.0,4.0,57.0,104.43531740522045
273,팔달구,우만동,야간,젖음/습기,눈,50.0,1.0,4.0,2.0,57.0,107.14215967367306
274,팔달구,인계동,야간,서리/결빙,기타,52.0,1.0,3.0,1.0,57.0,108.94672118597481
275,팔달구,매산로1가,야간,건조,비,46.0,1.0,5.0,4.0,56.0,102.44381207380138
276,영통구,이의동,야간,젖음/습기,비,47.0,1.0,4.0,4.0,56.0,103.34609282995224
277,장안구,영화동,야간,기타,눈,51.0,1.0,2.0,2.0,56.0,106.95521585455575
278,장안구,영화동,야간,적설,흐림,51.0,1.0,1.0,3.0,56.0,106.95521585455575
279,장안구,영화동,야간,서리/결빙,기타,51.0,1.0,3.0,1.0,56.0,106.95521585455575
280,팔달구,매산로1가,주간,서리/결빙,맑음,46.0,2.0,3.0,5.0,56.0,102.38613314964348
281,팔달구,매산로1가,주간,건조,흐림,46.0,2.0,5.0,3.0,56.0,102.3861331496435
282,영통구,이의동,주간,건조,눈,47.0,2.0,5.0,2.0,56.0,103.28841390579436
